id,muscle_group,exercise,level,target,push_pull,modality,joint
1,Abdominals - Lower,Full Reverse Crunch,Advanced,Core,Push,FW,M
2,Abdominals - Lower,Incline Hip Thrust,Advanced,Core,Push,FW,M
3,Abdominals - Lower,Incline Reverse Crunch,Advanced,Core,Push,FW,M
4,Abdominals - Lower,Lying Hip Thrust,Advanced,Core,Push,FW,M
5,Abdominals - Lower,Reverse Crunch,Beginner,Core,Push,FW,M
6,Abdominals - Lower,Reverse Medicine Ball Crunch,Advanced,Core,Push,FW,M
7,Abdominals - Obliques,Alternating Heel Touch,Beginner,Core,Push,FW,M
8,Abdominals - Obliques,Bent-Knee Medicine Ball Hip Rotation,Advanced,Core,Push,FW,M
9,Abdominals - Obliques,Cable Chop,Advanced,Core,Push,C,M
10,Abdominals - Obliques,Cross Crunch,Beginner,Core,Push,FW,M
11,Abdominals - Obliques,Cross Crunch w/ Medicine Ball,Advanced,Core,Push,FW,M
12,Abdominals - Obliques,Decline Cross Sit-Up,Advanced,Core,Push,FW,M
13,Abdominals - Obliques,Decline Sit-Up w/ Twist,Advanced,Core,Push,FW,M
14,Abdominals - Obliques,Reverse Cable Chop,Advanced,Core,Push,C,M
15,Abdominals - Obliques,Seated Medicine Ball Twist,Advanced,Core,Push,FW,M
16,Abdominals - Obliques,Trunk Rotator,Advanced,Core,Push,FW,M
17,Abdominals - Total,Front Plank (from knees),Beginner,Core,Static,FW,M
18,Abdominals - Total,Front Plank (from toes),Intermediate,Core,Static,FW,M
19,Abdominals - Total,Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm),Advanced,Core,Static,FW,M
20,Abdominals - Total,Side-Plank (from knees),Intermediate,Core,Static,FW,M
21,Abdominals - Total,Side-Plank (hip lift),Beginner,Core,Static,FW,M
22,Abdominals - Total,Side-Plank (from toes),Advanced,Core,Static,FW,M
23,Abdominals - Total,Ab Cycle,Advanced,Core,Push,FW,M
24,Abdominals - Total,Kneeling Ab Rollout,Intermediate,Core,Push,FW,M
25,Abdominals - Total,Medicine Ball V-Up,Advanced,Core,Push,FW,M
26,Abdominals - Total,V-Up,Beginner,Core,Push,FW,M
27,Abdominals - Total,Weighted V-Up,Intermediate,Core,Push,FW,M
28,Abdominals - Upper,Bent Knee Sit-Up,Beginner,Core,Push,FW,M
29,Abdominals - Upper,Bent-Knee Crunch,Beginner,Core,Push,FW,M
30,Abdominals - Upper,Crunch,Beginner,Core,Push,FW,M
31,Abdominals - Upper,Crunch,Beginner,Core,Push,FW,M
32,Abdominals - Upper,Decline Crunch,Advanced,Core,Push,FW,M
33,Abdominals - Upper,Decline Sit-Up,Advanced,Core,Push,FW,M
34,Abdominals - Upper,Heel Touch,Beginner,Core,Push,FW,M
35,Abdominals - Upper,Sit-Up,Beginner,Core,Push,FW,M
36,Abdominals - Upper,Weighted Crunch,Intermediate,Core,Push,FW,M
37,Back - Latissimus Dorsi,Assisted Pull-Up,Beginner,Upper,Pull,FW,M
38,Back - Latissimus Dorsi,Close-Grip Lat Pulldown,Beginner,Upper,Pull,MA,M
39,Back - Latissimus Dorsi,Inverted Pull-Up,Advanced,Upper,Pull,FW,M
40,Back - Latissimus Dorsi,Lat Pulldown,Beginner,Upper,Pull,C,M
41,Back - Latissimus Dorsi,Pull-Up,Beginner,Upper,Pull,FW,M
42,Back - Latissimus Dorsi,Reverse-Grip Lat Pullown,Intermediate,Upper,Pull,C,M
43,Back - Latissimus Dorsi,Reverse-Grip Pull-Up,Advanced,Upper,Pull,FW,M
44,Back - Latissimus Dorsi,V-Bar Pull-Up,Advanced,Upper,Pull,FW,M
45,Back - Latissimus Dorsi,Wide-Grip Lat Pulldown,Beginner,Upper,Pull,C,M
46,Back - Lat.Dorsi/Rhomboids,Bent-Over Alternating Dumbbell Row,Intermediate,Upper,Pull,FW,M
47,Back - Lat.Dorsi/Rhomboids,Bent-Over Barbell Row,Beginner,Upper,Pull,FW,M
48,Back - Lat.Dorsi/Rhomboids,Bent-Over Dumbbell Row,Beginner,Upper,Pull,FW,M
49,Back - Lat.Dorsi/Rhomboids,Bent-Over Hammer Dumbbell Row,Beginner,Upper,Pull,FW,M
50,Back - Lat.Dorsi/Rhomboids,Bent-Over Long Barbell Row,Intermediate,Upper,Pull,FW,M
51,Back - Lat.Dorsi/Rhomboids,Bent-Over Reverse-Grip Barbell Row,Advanced,Upper,Pull,FW,M
52,Back - Lat.Dorsi/Rhomboids,Bent-Over Single-Arm Long Barbell Row,Advanced,Upper,Pull,FW,M
53,Back - Lat.Dorsi/Rhomboids,Machine Row,Beginner,Upper,Pull,MA,M
54,Back - Lat.Dorsi/Rhomboids,One Arm Dumbbell Row,Beginner,Upper,Pull,FW,M
55,Back - Lat.Dorsi/Rhomboids,Reverse Incline Dumbbell Row,Advanced,Upper,Pull,FW,M
56,Back - Lat.Dorsi/Rhomboids,Rope Cable Row,Intermediate,Upper,Pull,C,M
57,Back - Lat.Dorsi/Rhomboids,Seated Cable Row,Beginner,Upper,Pull,C,M
58,Back - Lat.Dorsi/Rhomboids,Seated Row,Beginner,Upper,Pull,C,M
59,Back - Lat.Dorsi/Rhomboids,Single-Arm Cable Row,Intermediate,Upper,Pull,C,M
60,Back - Lat.Dorsi/Rhomboids,Single-Arm Dumbbell Row,Beginner,Upper,Pull,FW,M
61,Back - Lat.Dorsi/Rhomboids,Single-Arm Lat Pulldown,Intermediate,Upper,Pull,C,M
62,Back - Lat.Dorsi/Rhomboids,Standing Cable Row,Beginner,Upper,Pull,C,M
63,Back - Lat.Dorsi/Rhomboids,Standing Single-Arm Cable Row,Intermediate,Upper,Pull,C,M
64,Biceps,Alternating Dumbbell Curl,Beginner,Upper,Pull,FW,S
65,Biceps,Alternating Hammer Curl,Beginner,Upper,Pull,FW,S
66,Biceps,Barbell Curl,Beginner,Upper,Pull,FW,S
67,Biceps,Bicep Curl,Beginner,Upper,Pull,FW,S
68,Biceps,Bottom/Top/Full Curls,Advanced,Upper,Pull,FW,S
69,Biceps,Cable Curl,Intermediate,Upper,Pull,C,S
70,Biceps,Concentration Dumbbell Curl,Intermediate,Upper,Pull,FW,S
71,Biceps,Cross Body Hammer Curl,Advanced,Upper,Pull,FW,S
72,Biceps,Dumbbell Curl,Beginner,Upper,Pull,FW,S
73,Biceps,EZ-Bar Curl,Intermediate,Upper,Pull,FW,S
74,Biceps,Hammer Curl,Beginner,Upper,Pull,FW,S
75,Biceps,Incline Alternating Dumbbell Curl,Advanced,Upper,Pull,FW,S
76,Biceps,Incline Alternating Hammer Curl,Advanced,Upper,Pull,FW,S
77,Biceps,Incline Dumbbell Curl,Advanced,Upper,Pull,FW,S
78,Biceps,Incline Hammer Curl,Advanced,Upper,Pull,FW,S
79,Biceps,Kneeling Cable Curl,Beginner,Upper,Pull,C,S
